English,Tulu
I do not speak Tulu,ಎಂಕ್ ತುಳು ಗೊತ್ತುಜ್ಜಿ
I am learning Tulu,ಯಾನ್ ತುಳು ಕಲ್ಪೊಂದುಲ್ಲೆ
Nice to meet you,ಯೀರೆಗು ತಿಕುದು ಸಂತೋಷಾ೦ಡ್
Thank you very much,ಇರೆಗ್ ಮಸ್ತ್ ಸೊನ್ಮೆಲು
Thank you,ಯೀರೆಗ್ ಸೊಲ್ಮೆಲು
very,ಮಸ್ತ್
unique,ಸಾಟಿ ಉಪ್ಪಂದಿನ
different,ಬೇತೆ
like,ಮೆಚ್ಚಿಗೆ
continue,ದುಂಬರಿಪು
to,ಗ್
words,ಶಬ್ದೋಲು
details,ವಿವರ
name,ಪುದರ್
milk,ಪೇರ್
no,ಇಜ್ಜಿ
come,ಬಲ
don't come,ಬರೊಂದಿಜ್ಜಿ
call,ಲೆಪ್ಪು
nature,ಸ್ವಭಾವ
environment,ವಾತಾವರನೊ
write,ಬರೆಲೆ
read,ಓದು
on,ಮಿತ್ತುಗು
off,ರಜೆ
light,ಬೊಲ್ಪು
tv,ಟಿವಿ
leg,ಕಾರ್
umbrella,ಕೊಡೆ
rice,ಆರಿ
explain,ಬುಡ್ಪಾದ್ ಪನ್ಪಿನಿ
tell,ಪನ್ಲೆ
more,ಜಾಸ್ತಿ
open,ತೋಜಾವುನು
turn on the fan,ಫ್ಯಾನ್ ಆನ್ ಮಲ್ಪುಲೆ
turn off the fan,ಫ್ಯಾನ್ ಆಫ್ ಮಲ್ಪುಲೆ
on the lights,ದೀಪೊಲೆನ ಮಿತ್ತ್
off the lights,ದೀಪೊಲೆನ್ ಆಫ್ ಮಲ್ಪುಲೆ
door,ಬಾಕಿಲ್
speak,ಪಾತೆರುನು
talk,ಪಾತೆರ
photo,ಪಟ
video,ಯೀಡ್ಯ
change,ಬದಲಾವನೆ
mental,ಮಾರ್ಲ್
small,ಎಲ್ಯ
share,ಪಟ್ಟುನು
flower,ಪೂ
animal,ಪ್ರಾಣಿ
animals,ಪ್ರಾಣಿಲು
bird,ಪಕ್ಕಿ
yes,ಅಂದ್
search,ನಾಡುನು
bottle,ಬಾಟಲಿ
elders,ಹಿರಿಯೆರ್
younger,ಎಲ್ಯ
eldest,ಮಲ್ಲ
cover,ಮುಚ್ಚುನು
help,ಸಹಾಯೊ
What is your name,ಪುದರ್ ಏಂಚಿನೆ
What is this,ಉಂದು ದಾದೆ
Had tea,ಚಾ ಪೆರ್ಯರೆ
It should be like that only,ಅಂಚೆನೆ ಆವೊಡು
I will never let you win easily,ಸುಲಬೊಡು ನಿನನ್ ಗೆಂದೆರೆ ಬುಡಯೆ
He was in trouble,ಆಯೆ ಮಸ್ತ್ ಬಂಗೊಡು ಇತ್ತೆ
want,ಬಯಕೆ
wanted,ಬೋಡಿತ್ತಿನ
question,ಪ್ರಶ್ನೆ
man,ಆಂಜೊವ್
women,ಪೊಂಜೋವ್
Long time no see,ಮಸ್ತ್ ಸಮಯಾಂಡ್ ತೂವಂದೆ
I can understand,ಎಂಕ್ ಅರ್ಥ ಆಪುಂಡು
see,ತೂಲ
understand,ಅರ್ಥ ಆಂಡೆ
my,ಎನ್ನ
handsome,ಪೊರ್ಲು
respect,ಮರ್ಯಾದೆ
culture,ಸಂಸ್ಕೃತಿ
temple,ದೇವಸ್ಥಾನ
please say that again,ಕುಡೊರ ಪನ್ಲೆ
I love you,ಯಾನ್ ನಿನನ್ ಮೊಕೆ ಮಲ್ಪುವೆ
Get well soon,ಬೇಗ ಉಶಾರಾಲೆ
fast,ಬೇಗ
I want to get down here,ಯಾನ್ ಮುಲು ಜಪ್ಪುವೆ
study,ಅಭ್ಯಾಸ
studying,ಓದುನು
language,ಭಾಷೆ
bad,ಪಡ್ಕೆ
good,ಏಡ್ಡೆ
bad words,ಕೆಟ್ಟ ಪಾತೆರೊಲು
boy,ಆಣ್
girl,ಪೊಣ್ಣು
responsibility,ಜಬದ್ದಾರಿ
busy,ಬೇಲೆಡುಪ್ಪುನಿ
go,ಪೋ
escape,ಬಲ್ಪುನು
next,ಬೊಕ್ಕ
best,ಎಡ್ಡೆ
surprise,ಅಜಪ್ಪಾಪಿನಿ
sun,ಸೂರ್ಯೆ
moon,ಚಂದ್ರೆ
sky,ಬಾನ
fight,ಲಡಾಯಿ
compromise,ರಾಜಿ
war,ಯುದ್ಧ
earth,ಭೂಮಿ
cloth,ಕುಂಟು
clothes,ಕುಂಟುಲು
shirt,ಅಂಗಿ
pant,ಪ್ಯಾಂಟ್
saree,ಸೀರೆ
army,ಸೈನ್ಯ
aeroplane,ವಿಮಾನ
skin,ಚರ್ಮ
information,ಮಾಹಿತಿ
movie,ಸಿನಿಮಾ
welcome,ಸ್ವಾಗತ
straight,ಸರ್ತ
left,ಎಡ
forward,ದುಂಬು
about,ಬಗ್ಗೆ
back,ಪಿರ
outside,ಪಿದೈ
Inside,ಉಲೈ
smile,ತೆಲಿಕೆ
angry,ಕೋಪ
emotion,ಭಾವನೆ
Thirsty,ಬಾಜಿಲ್
hungry,ಬಡಾಪುಂಡು
right,ಸರಿ
Sit down,ಕುಲ್ಲುಲೆ
No problem,ಮಲ್ಲೆಜಿ
not good,ಎಡ್ಡೆ ಅತ್ತ್
plant,ದೈ
road,ತಾದಿ
bye,ಬರ್ಪೆ
Okay,ಆವು
Enough,ಯಾವು
learning,ಕಲಿಪಾಟಿಕೆ
enemy,ಶತ್ರು
teaching,ಬೋಧನೆ
friend,ದೊಸ್ತಿ
tree,ಮರವ್
book,ಪುಸ್ತಕ
eat,ತಿನುನು
sleep,ಜೆಪ್ಪುನು
jump,ನೆಲಪುನು
everyone,ಮಾತೆರ್ಲಾ
anyone,ಯೇರ್ಲಾ
model,ಮಾದರಿ
library,ಲೈಬ್ರೆರಿ
lesson,ಪಾಠ
guest,ಬಿನ್ನೆರ್
partner,ಜೊತೆ
marriage,ಮದ್ಮೆ
god,ದೇವೆರ್
beach,ಕಡಲ ಬರಿ
dictionary,ಶಬ್ದಕೋಶ
collect,ಒಟ್ಟು ಮಲ್ಪುನು
none,ಒವುಲಾ ಅತ್ತ್
text,ಪಟ್ಯ ಸಂದೇಶ
person,ಜನ
sad,ದುಃಖ
depressed,ಬೇಜಾರ್
target,ಏಮ್
daily,ದಿನಾಲ
everyday,ನಿತ್ಯ
and,ಬೊಕ
of,ಐತ
the,ಆ
for,ಐಕು
is,ಉಂಡು
that,ಅವ್ವು
by,ಮುಖಾಂತರ
this,ಉಂದು
with,ಒಟ್ಟುಗು
it,ಉಂದು
not,ಇಜ್ಜಿ
or,ಅಥವಾ
be,ಉಪ್ಪು
are,ಉಪುವ
from,ಮುಲ್ತುರ್ದ್
at,ಅವ್ಳು
as,ಅಂಚ
your,ನಿನ್ನ
all,ಮಾತ
have,ಪಡೆವೊನ್
new,ಪೊಸತ್ತ್
was,ಇತ್ತುಂಡ್
we,ನಮ
will,ಇಚ್ಛೆ
can,ಸಾಧ್ಯತೆ
us,ನಮ
if,ಒಂಜಿವೇಲೆ
page,ಪುಟ
has,ಪಡೆವೊಂದಿನ
free,ಉಚಿತ
but,ಆಂಡ
our,ನಮ್ಮ
other,ಬೇತೆ
do,ಮಲ್ಪುಲೆ
site,ಜಾಗೆ
today,ಇನಿ
tomorrow,ಎಲ್ಲೆ
up,ಮಿತ್ತ್
may,ಸಾಧ್ಯತೆ
yesterday,ಕೋಡೆ
now,ಇತ್ತೆ
what,ದಾನೆ
after,ಆದ್
together,ಒಟ್ಟುಗು
which,ಯೆವ್ವು
their,ಅಕ್ಲೆನ
news,ವಾರ್ತೆ
use,ಗಳಸ್
any,ಒವುಲಾ
there,ಅಲ್ಪ
only,ಒಂಜೆ
so,ಇಂಚಾದ್
his,ಆಯನ
when,ಯಾಪ
contact,ಸಂಪರ್ಕ
here,ಮುಲ್ಪ
rain,ಬರ್ಸಾ
go inside,ಉಲೈ ಪೊ
go outside,ಪಿದೈ ಪೊ
walk slowly,ಮೆಲ್ಲ ನಡಪು
business,ಬೇರ
i forget,ಎಂಕ್ ಮರವ್ಂಡ್
who,ಏರ್
go far,ದೂರ ಪೊ
also,ಅತ್ತಂದೆ
get,ಪಡೆವೊನ್
don't touch,ಮುಟೊಡ್ಚಿ
view,ತೂಪಿನಿ
first,ಕಡಿರ್
am,ಯಾನ್ಲಾ
been,ಆದಿಪ್ಪುನಗ
would,ಪಂಡುದ್
how,ಎಂಚ
heat,ಬೆಚ್ಚ
were,ಇತ್ತುಂಡು
some,ಕೆಲವು
click,ಕ್ಲಿಕ್ ಮಲ್ಪುಲೆ
service,ಸೇವೆ
find,ನಾಡ್ಲ
price,ಬಿಲೆ
date,ದಿನಾಂಕ
list,ಪಟ್ಟಿ
just,ಬಜೀ
over,ಮುಗಿಂಡ್
state,ಸ್ಥಿತಿ
stand,ಉಂತುನು
into,ಅಯಿತ್ತ ಉಲಾಯಿ
stare,ತೂವೊಡು
one,ಒಂಜಿ
two,ರಡ್ಡ್
three,ಮೂಜಿ
four,ನಾಲ್
five,ಐನ್
six,ಆಜಿ
seven,ಏಳ್
eight,ಎಣ್ಮ
nine,ಒರಂಬ
ten,ಪತ್ತು
eleven,ಪತ್ತೊಂಜಿ
twelve,ಪದ್ರಾಡು
thirteen,ಪದಿಮೂಜಿ
fourteen,ಪದ್ನಾಲ್
fifteen,ಪದ್ನೈನ್
sixteen,ಪಡಿನಾಜಿ
seventeen,ಪದಿನೇಲು
eighteen,ಪದ್ನೆಣ್ಮ
nineteen,ಪತ್ತೊರ್ಮ್ಬ
twenty,ಇರ್ವ
hundred,ನೂದು
health,ಆರೋಗ್ಯ
world,ಲೋಕ
used,ಗಳಸಿದಿನ
work,ಬೆಲೆ
most,ಹೆಚ್ಚಿನ
last,ಕಡೇತ್ತ
music,ಪದ್ಯ
dance,ನಲ್ಪು
system,ವ್ಯವಸ್ಥೆ
number,ಸಂಖ್ಯೆ
please,ದಯಮಲ್ತುದು
available,ತಿಕ್ಕುಂಡ್
support,ಉಮೇದ್
message,ಸಂದೇಶ
well,ಏಡ್ಡೆ
rights,ಹಕ್ಕುಲು
through,ಮೂಲಕ
order,ಕ್ರಮ
equal,ಸಮಾನ
life,ಬದ್ ಕ್
tension,ಎತೆ
activity,ಕಾರ್ಯಕ್ರಮ
history,ಚರಿತ್ರೆ
past,ಕರಿನ
present,ಇತ್ತೆ
future,ಭವಿಷ್ಯ
focus,ದಿಟ್ಟಿ
analyse,ವಿಶ್ಲೇಷಣೆ ಮಲ್ಪುಲೆ
evidence,ಸಾಕ್ಷಿ
main,ಮುಖ್ಯ
truth,ಸತ್ಯ
assist,ಸಹಾಯ ಮಲ್ಪು
concentrate,ಒಂಜೇ ಮನಸ್ಸ್
method,ವಿಧಾನ
abundance,ಬೋಡಾಯಿನಾತು
Illusion,ಭ್ರಮೆ
Adventure,ಸಾಧನೆ
country,ದೇಶ
sincere,ನಿಯತ್ತ್ ದ
disturb,ಉಪದ್ರ
sense,ಅಂದಾಜಿ
teach,ಕಲ್ಪಾವುನು
practice,ಅಭ್ಯಾಸ
justice,ನ್ಯಾಯ
reason,ಕಾರಣ
test,ಪರೀಕ್ಷೆ
train,ರೈಲ್
mature,ಪ್ರಬುದ್ಧ
preserve,ಜೋಕೆ ಮಲ್ಪುನ
separate,ಬೇತೆನೆ
master,ಮಾಸ್ಟರ್
shame,ನಾಚಿಗೆ
scold,ನೆರ್ಪಿನಿ
queue,ಸಾಲ್
noise,ಶಬ್ದ
year,ವರ್ಷ
decide,ತೀರ್ಮಾನ
trouble,ಕಷ್ಟ
family,ಕುಟುಂಬ
born,ಪುಟ್ಟಿನಿ
hospital,ಆಸ್ಪತ್ರೆ
silly,ಎಲ್ಯ
arrange,ವ್ಯವಸ್ಥೆ
control,ಹಿಡಿತ
format,ಸ್ವರೂಪ
snore,ಗೊರಕೆ
scent,ಪರಿಮಳ
peep,ಪೀಪ್
sip,ಸಿಪ್
scamper,ಸ್ಕ್ಯಾಂಪರ್
hiccup,ಹಿಕ್ಕು
fan,ಬೆಂಬಲಿಗೆರ್
dont,ಇಜ್ಜಿ
come,ಬಲ
never,ಏಪಲಾ
let,ಬುಡು
win,ಗೆಂದುನು
lose,ನಷ್ಟೊ
easily,ಸುಲಭವಾದು
down,ತಿರ್ತ್
bad,ಪಡ್ಕೆ
sit,ಕುಲ್ಲ್
sentence,ವಾಕ್ಯ
honesty,ಪ್ರಾಮಾಣಿಕತೆ
dishonesty,ಅಪ್ರಾಮಾಣಿಕತೆ
machine,ಮೆಶಿನ್
detail,ವರ್ಣನೆ
student,ವಿದ್ಯಾರ್ಥಿ
children,ಜೋಕುಲು
enter,ಪೊಗ್ಗುನು
entry,ಪ್ರವೇಶ
exit,ಪಿದಯಿ ಪೋಪಿನ
tulu,ತುಳು
english,ಇಂಗ್ಲಿಷ್
kannada,ಕನ್ನಡ
tamil,ತಮಿಳು
telugu,ತೆಲುಗು
trust,ನಂಬಿಕೆ
cloud,ಮೋಡ
glow,ರೈಸ್
globe,ಗ್ಲೋಬ್
charge,ಕ್ರಯ
planet,ಗ್ರಹ
lecture,ಉಪನ್ಯಾಸ
teacher,ಗುರುಕ್ಕುಲು
baby,ಬಾಲೆ
client,ಗಿರಾಕಿ
discover,ನಾಡ್ ಪತ್ತುನು
hands,ಕೈ
legs,ಕಾರ್
eyes,ಕಣ್ಣುಲು
lips,ತುಟಿಲು
waist,ತಿಗಲೆ
wrist,ಮುಂಗೈ
laugh,ತೆಲಿಕೆ
shower,ಬರ್ಸ
laughing,ತೆಲಿಪುನು
report,ವರದಿ
ask,ಕೇನ್
task,ಏಮ್
mask,ಮಾಸ್ಕ್
mass,ಗರ್ದಿ
computer,ಕಂಪ್ಯೂಟರ್
old,ಪರತ್ತ್
run,ಬಲ್ಪು
walk,ನಡಕೆ
seashore,ಕಡಲತೀರ
tongue,ನಾಲಯಿ
ears,ಕೆಮಿಕುಲು
nose,ಮೂಂಕು
mouth,ಬಾಯಿ
opportunity,ಅವಕಾಶ
score,ಸ್ಕೋರ್
twist,ತಿರ್ಗಾಮುರ್ಗ
squiz,ಸ್ಕ್ವಿಜ್
sneeze,ಸೀನು
snuff,ಸ್ನಫ್
shuffle,ಶಫಲ್
research,ಸಂಶೋಧನೆ
investigate,ನಾಡ್ದು ಪತ್ತು
struggle,ಬಂಗ
obstacle,ಅಡೆತಡೆ
impression,ಅಭಿಪ್ರಾಯ
expression,ತೆರಿಪಾವುನು
impress,ಪ್ರಭಾವ
express,ಪನ್ಪಿನಿ
bus,ಬಸ್
cheat,ಮೋಸ
thief,ಕಲುವೆ
anxious,ಪೋಡಿಗೆ
blabber,ಬ್ಲಾಬರ್
ticket,ಟಿಕೆಟ್
word,ಪಾತೆರ
compensate,ಪರಿಹಾರ ಮಲ್ಪುಲೆ
cross,ದಾಂಟ್
going,ಪೋಪಿನಿ
gone,ಪೋಯಿನಿ
went,ಪೋಯಿನಿ
school,ಶಾಲೆ
singer,ಪದ್ಯ ಪನ್ಪಿನಾಯೆ
dancer,ನರ್ತಕಿ
anklet,ಪಾದದ ಕಲೆ
ankle,ಕಣ ಕಾರ್
instrument,ಉಪಕರನೊ
where,ಒಲ್ಪ
whom,ಏರ್
whose,ಏರ್ನ
why,ದಾಯೆಗ್
drink,ಪರ್
jackfruit,ಜಾಕ್ ಫ್ರುಟ್
watermelon,ಬಚ್ಚಂಕಾಯಿ
apple,ಸೇಬ್
mango,ಮಾವಿನ
pot,ಪಾತ್ರೆ
hot,ಬೆಚ್ಚ
spoon,ಚಮ್ಚ
ladle,ಲಾಡ್ಲೆ
driver,ಡ್ರೈವರ್
ride,ಸವಾರಿ
horse,ಕುದುರೆ
king,ರಾಜೆ
queen,ರಾಣಿ
plan,ಯೋಜನೆ
kill,ಕೆರು
conflict,ಲಡಾಯಿ
hill,ಗುಡ್ಡೆ
point,ವಿಷಯ
game,ಗೊಬ್ಬು
loose,ಸಡಿಲ್
finger,ಬೆರಲು
ring,ರಿಂಗ್
lost,ನಷ್ಟ
chase,ಪಿರ ಪಾಡುನು
cut,ತುಂಡು
story,ಕತೆ
strong,ಗಟ್ಟಿ
weak,ಬಲದಾಂತಿನ
brave,ಧೈರ್ಯ
clever,ಬುದ್ಧಿವಂತಿಕೆ
coward,ಪುಕ್ಕೆಲೆ
happy,ಸಂತೋಷ
sorry,ತಪ್ಪಾಂಡ್
love,ಮೋಕೆ
secret,ಗುಟ್ಟು
play,ಆಟ
stay,ಉಂತು
limit,ಮಿತಿ
bangle,ಬಂಗಲ್
guilty,ತಪ್ಪು
pity,ಕನಿಕರ
introduce,ಪರಿಚಯ
daughter,ಮಗಲ್
son,ಮಗೆ
society,ಸಮಾಜ
evil,ಪಗೆಮಾನಿ
death,ಮರಣ
chilly,ಚಿಲ್ಲಿ
hard,ಗಟ್ಟಿ
pickle,ಉಪ್ಪಡ್
prepare,ತಯಾರಿ
exam,ಪರೀಕ್ಷೆ
simply,ಪೋಕ್ಕಡೇ
It's not working,ಉಂದು ಬೇಲೆ ಮಲ್ಪುಜಿ
It’s too expensive,ಉಂದು ಮಸ್ತ್ ದುಬಾರಿ
Take care,ಜಾಗ್ರತೆ
Let’s go by bike,ಬೈಕ್ ಡ್ ಪೋವೊಡು
I'm proud of you,ಎಂಕ್ ನಿಕ್ಲೆನ ಬಗ್ಗೆ ಹೆಮ್ಮೆ ಉಂಡು
I'm going to the market,ಯಾನ್ ಮಾರುಕಟ್ಟೆಗ್ ಪೋಪೆ
Let’s study together,ಒಟ್ಟುಗು ಅಧ್ಯಯನ ಮಲ್ಪುಗ
I forgot my notebook,ಎಂಕ್ ಎನ್ನ ನೋಟ್ಬುಕ್ ಮದತ್ಂಡ್
The food is ready,ಊಟ ತಯಾರ್ ಆತ್ಂಡ್
It’s time to eat,ತಿನ್ಪಿನ ಪೊರ್ತು ಬತ್ತ್ಂಡ್
Turn off the lights,ಲೈಟ್ ನ್ ಆಫ್ ಮಲ್ಪುಲೆ
Lock the door,ಬಾಕಿಲ್ ಲಾಕ್ ಮಲ್ಪುಲೆ
I'm doing my homework,ಯಾನ್ ಎನ್ನ ಇಲ್ಲದ ಬೇಲೆನ್ ಮಲ್ತೊಂದುಲ್ಲೆ
Let’s clean the room,ಕೋಣೆನ್ ಸ್ವಚ್ಛ ಮಲ್ಪುಗ
It's raining outside,ಪಿದಯಿ ಬರ್ಸ ಬರ್ಪುಂಡು
Nothing much,ದಾಲ ಇಜ್ಜಿ
What’s going on,ದಾದ ಆವೊಂದುಂಡು
I don’t know,ಎಂಕು ಗೊತ್ತು ಇಜ್ಜಿ
I'm not sure,ಎಂಕ್ ಖಚಿತ ಇಜ್ಜಿ
I agree with you,ಯಾನ್ ನಿಕ್ಲೆನೊಟ್ಟುಗು ಒಪ್ಪುವೆ
It’s too expensive,ಉಂದು ಮಸ್ತ್ ಖರ್ಚು
I want to buy this,ಎಂಕ್ ಉಂದೆನ್ ಕೊಂಡೊನೊಡಾಪುಂಡು
I'm hungry,ಎಂಕ್ ಬಡವು ಉಂಡು
What’s for lunch,ಮಧ್ಯಾಹ್ನೊಗು ದಾದ ಉಂಡು
The food is tasty,ತಿನ್ಪಿನ ರುಚಿ ಉಂಡು
I don't like it,ಎಂಕ್ ಉಂದು ಇಷ್ಟ ಆಪುಜಿ
I'm full,ಎಂಕ್ ಪೂರ್ತಿ ಉಂಡು
Can I have some water,ಎಂಕ್ ಒಂತೆ ನೀರ್ ಪರ್ವೊಲಿಯಾ
